"Przytulny dom z ogródkiem, tuż obok Poznania !",425 000 zł,5827.51,"72,93 m²","264,85 m²",1 piętro,pierwotny,4, 2016 , szeregowiec, do wykończenia, plastikowe, pod miastem
"Willa miejska Poznań, ul. Radłowa OKAZJA",710 000 zł,3736.84,190 m²,500 m²,1 piętro,pierwotny,5, 2018 , wolnostojący, do wykończenia, plastikowe, miasto
"Dom Poznań Junikowo, ul. Przepiórcza",750 000 zł,5102.04,147 m²,573 m²,1 piętro,wtórny,4, 2018 , bliźniak, do wykończenia, plastikowe, miasto
"Dom, 145,70 m², Poznań",620 000 zł,4255.32,"145,70 m²",n/a,1 piętro,wtórny,6, 2007 , bliźniak, do wykończenia, plastikowe, miasto
"Super funkcjonalny dom z OGRODEM, Wszędzie BLISKO",415 000 zł,5690.39,"72,93 m²","243,88 m²",1 piętro,pierwotny,4, 2016 , szeregowiec, do wykończenia, plastikowe, pod miastem
"Dom, 264 m², Poznań",890 000 zł,3371.21,264 m²,439 m²,1 piętro,wtórny,7, 2008 , wolnostojący, do zamieszkania, plastikowe, pod miastem
Dom Poznań Grunwald - Junikowo,640 000 zł,3200.0,200 m²,453 m²,1 piętro,wtórny,5, 2008 , bliźniak, do zamieszkania, drewniane, miasto
Świerczewo dom - stan developerski 140m2 dz. 478m2,680 000 zł,4857.14,140 m²,487 m²,1 piętro,wtórny,4, 2008 , bliźniak, do wykończenia, plastikowe, miasto
"Dom na sprzedaż, Poznań ul. Piękna",2 499 000 zł,3880.43,644 m²,859 m²,n/a,wtórny,5, 2008 , wolnostojący, stan surowy zamknięty, plastikowe, miasto
"Dom Poznań Junikowo, ul. Przepiórcza",750 000 zł,5102.04,147 m²,573 m²,1 piętro,wtórny,4, 2018 , bliźniak, do wykończenia, plastikowe, miasto
"Dom, 145,70 m², Poznań",620 000 zł,4255.32,"145,70 m²",n/a,1 piętro,wtórny,6, 2007 , bliźniak, do wykończenia, plastikowe, miasto
"Dom, 169,90 m², Poznań",589 000 zł,3466.75,"169,90 m²",n/a,2 piętra,wtórny,6, 1987 , bliźniak, do wykończenia, plastikowe, miasto
"Dom Poznań Junikowo, ul. Przepiórcza",720 000 zł,5106.38,141 m²,573 m²,1 piętro,wtórny,4, 2018 , bliźniak, do wykończenia, plastikowe, miasto
Cały bliźniak/dwu rodzinny lub na firmę/hostel itp,1 150 000 zł,2500.0,460 m²,1 039 m²,1 piętro,wtórny,10, 1996 , bliźniak, do zamieszkania, plastikowe, miasto
"Domy Literacka, Poznań, Strzeszyn",685 000 zł,5393.7,127 m²,700 m²,1 piętro,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe, miasto
"Dom, 143,60 m², Poznań",649 000 zł,4519.5,"143,60 m²",782 m²,2 piętra,pierwotny,5, 2017 , bliźniak, do wykończenia, plastikowe, miasto
Luksusowy dom z basenem Poznań Szczepankowo,1 800 000 zł,2769.23,650 m²,3 600 m²,1 piętro,wtórny,10, 2000 , wolnostojący, do zamieszkania, plastikowe, miasto
"Dom, 55 m², Poznań",149 000 zł,2709.09,55 m²,500 m²,n/a,wtórny,3, 2012 , wolnostojący, stan surowy zamknięty, plastikowe, miasto
Warszawskie - skrajny szereg,589 000 zł,3466.75,"169,90 m²",189 m²,2 piętra,wtórny,6, 1987 , wolnostojący, stan surowy zamknięty, plastikowe, miasto
Bliźniak idealny pod firmę - Jeżyce,729 000 zł,4556.25,160 m²,336 m²,1 piętro,wtórny,7, 1970 , bliźniak, do zamieszkania, plastikowe, miasto
"Wyjątkowy apartament , Grunwald, Poznań",875 000 zł,4166.67,210 m²,454 m²,n/a,wtórny,4, 1930 , bliźniak, do zamieszkania, drewniane, miasto
"Naramowice, Burysława! Dom z ogrodem i garażem!",1 899 000 zł,5055.1,"375,66 m²",736 m²,1 piętro,wtórny,5, 2011 , wolnostojący, do zamieszkania, drewniane, miasto
"Wyjątkowy dom w urokliwym miejscu, O % PROWIZJI !",1 190 000 zł,5409.09,220 m²,1 077 m²,1 piętro,wtórny,5, 2013 , wolnostojący, do zamieszkania, drewniane, pod miastem
Green Park - Poznań Kotowo,345 000 zł,3970.54,"86,89 m²","406,63 m²",2 piętra,pierwotny,4, 2017 , bliźniak, do wykończenia, plastikowe, miasto
Green Park - Poznań Kotowo,285 000 zł,4134.03,"68,94 m²","241,94 m²",2 piętra,pierwotny,3, 2017 , bliźniak, do wykończenia, plastikowe, miasto
Green Park - Poznań Kotowo,469 500 zł,4307.34,109 m²,470 m²,2 piętra,pierwotny,4, 2017 , wolnostojący, do wykończenia, plastikowe, miasto
